CustomerID,Age,Gender,City,Income,Product,Quantity,Amount,MembershipType,JoinDate,AgeGroup,IncomeCategory,SpendingScore,CustomerValue,PurchaseFrequency,MembershipDays
101,25.0,1,2,0.2222222222222222,Laptop,1.0,0.9473684210526316,0,2024-01-05,2,2,0.4891304347826087,2,2,886.0
101,25.0,1,2,0.2222222222222222,Keyboard,2.0,0.08421052631578947,0,2024-01-05,2,2,0.08695652173913045,1,2,886.0
102,33.0,0,1,0.4444444444444444,Phone,2.0,0.4736842105263158,3,2024-03-12,0,2,0.4891304347826087,2,2,819.0
102,33.0,0,1,0.4444444444444444,Phone,1.0,0.5789473684210527,3,2024-03-12,0,2,0.29891304347826086,2,2,819.0
103,33.0,1,2,0.3464052287581699,Laptop,1.0,1.0,2,2023-11-20,0,2,0.516304347826087,2,1,932.0
104,35.0,0,0,0.6666666666666666,Tablet,3.0,0.631578947368421,1,,0,0,0.9782608695652174,0,1,0.0
105,33.0,1,1,0.16666666666666663,,0.0,0.0,0,2024-06-01,0,2,0.0,1,0,738.0
107,42.0,1,2,1.0,Laptop,2.0,0.968421052631579,1,,0,0,1.0,0,1,0.0
108,33.0,0,1,0.38888888888888884,,0.0,0.0,3,2023-09-10,0,2,0.0,1,0,1003.0
109,55.0,1,2,0.3464052287581699,,0.0,0.0,1,,1,2,0.0,1,0,0.0
110,31.0,0,0,0.5555555555555556,,0.0,0.0,1,,0,2,0.0,1,0,0.0
111,22.0,1,3,0.055555555555555525,,0.0,0.0,1,,2,1,0.0,1,0,0.0
112,45.0,0,1,0.2777777777777778,,0.0,0.0,1,,0,2,0.0,1,0,0.0
113,33.0,1,2,0.5,,0.0,0.0,1,,0,2,0.0,1,0,0.0
114,60.0,0,0,0.3464052287581699,,0.0,0.0,1,,1,2,0.0,1,0,0.0
115,29.0,1,1,0.7222222222222222,,0.0,0.0,1,,2,0,0.0,1,0,0.0
116,38.0,0,2,0.1111111111111111,,0.0,0.0,1,,0,2,0.0,1,0,0.0
117,33.0,1,3,0.0,,0.0,0.0,1,,0,1,0.0,1,0,0.0
118,26.0,0,1,0.6111111111111112,,0.0,0.0,1,,2,0,0.0,1,0,0.0
119,33.0,1,0,0.33333333333333337,,0.0,0.0,1,,0,2,0.0,1,0,0.0
120,33.0,0,2,0.3464052287581699,,0.0,0.0,1,,0,2,0.0,1,0,0.0
